State,costIndex,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost
Mississippi,86.1,93.1,66.7,91.8,89.9,92
Arkansas,86.9,90.7,75.2,92.7,86.1,95.7
Oklahoma,87,94.1,70.1,95.8,91.3,92.5
Missouri,87.1,97.6,71.6,97.5,93.9,94.3
New Mexico,87.5,99.7,80.4,89.9,93,90.8
Tennessee,88.7,94.5,82.6,92.2,87.7,94.4
Michigan,88.9,92,76,99.7,104.3,95.5
Kansas,89,92.8,71.8,99.4,94.8,92.3
Georgia,89.2,104.2,71.3,91.3,97,96.2
Wyoming,89.3,104.6,87.7,87.2,84.8,102.6
Alabama,89.3,95.1,70.2,103.3,92.3,97.5
Indiana,90,97.8,76.5,97.5,99.4,95.7
Iowa,90.1,92.3,78.3,97,99.1,96.7
Ohio,90.8,98.1,78,90.6,102.2,100
Nebraska,90.8,97.8,83.7,89.5,96.1,96.5
Kentucky,90.9,91,81.6,97.3,97.9,102.6
West Virginia,91.1,95.4,81.7,90.3,85.4,101.5
Texas,91.5,89.9,85.9,102.3,92.2,95
Idaho,92.3,167.7,90.7,82.6,103.4,97.7
Louisiana,93.9,97.7,86.8,87.5,96.396,97
Illinois,94.5,92.7,87,96.8,107.7,98.1
North Carolina,94.9,98.4,84.1,99.3,94,101.1
South Carolina,95.9,102.1,84.9,106.3,91.5,100.2
Arizona,97,99.4,102,112.3,105.9,97.9
Wisconsin,97.3,97.4,88.7,98.2,100.3,97.9
Florida,97.9,115.8,96.8,101.1,99.1,98.3
Utah,98.4,98.3,93.9,92.7,103.1,99.7
North Dakota,98.8,103.5,91.5,90.5,105.3,96.5
South Dakota,99.8,98.7,101,87.9,95.1,95.4
Virginia,100.7,97.1,112.1,99,91.9,98.8
Minnesota,101.6,105.5,89.2,98.7,100.6,108.4
Pennsylvania,101.7,105.2,99.4,109.5,109.8,99.4
Colorado,105.6,99.2,119.6,87.6,101.5,101.7
Montana,106.9,101.1,102,86.2,94.2,100.1
Delaware,108.1,119.9,100.6,94.6,103.6,114.7
Nevada,108.5,106.5,119.2,93.3,120.3,103.3
New Hampshire,109.7,100.4,110.3,114,98.2,109.7
Washington,110.7,108.2,118.8,90.1,116.6,109.9
Vermont,114.5,112.2,137.2,118.4,112.4,103.3
Maine,117.5,104.9,134.2,107.6,101.5,113
Rhode Island,119.4,108,132.3,127,106.1,116.7
New Jersey,125.1,108.2,149.3,98.3,107.2,108.5
Connecticut,127.7,107.7,142.2,132.9,112.6,121.6
Maryland,129.7,114.6,180.2,108.6,107.1,108.9
Alaska,129.9,132.4,134.3,159.5,117.8,112.8
Massachusetts,131.6,114.5,173.6,108.9,110.1,121.4
Oregon,134.2,113.8,184.8,87.5,129.4,120
New York,139.1,113.4,197.5,102.8,105,112
California,151.7,117.3,196.5,122.2,132.4,110.8
Hawaii,192.9,99,336.2,189.5,138.8,125.3
